Date,Tweets,Preprocessing
2020-06-21 19:37:37,"@madbreakerr WKWKWKW gapapa oqtyyyy, kan ak juga suka haikyuu ✌☺", wkwkwkw gapapa oqtyyyy kan ak juga suka haikyuu 
2020-06-21 19:37:37,@Chocooreo00 dimanaa,00 dimanaa
2020-06-21 19:37:37,@iyimisinkankaa kimi dicek onu da de dkndjdjdbdb, kimi dicek onu da de dkndjdjdbdb
2020-06-21 19:37:37,RT @Gingerpk_: Rupanzel but Indian ? https://t.co/JBXwJhHI1D, rupanzel but indian 
2020-06-21 19:37:37,@infojogja nang purworejo yo kroso 😱, nang purworejo yo kroso 
2020-06-21 19:37:37,Yatuhan kaget goyang😭,yatuhan kaget goyang 
2020-06-21 19:37:37,Guysss gempanyaa gede bgt😥😬,guysss gempanyaa gede bgt 
2020-06-21 19:37:37,Linduuuuuu,linduuuuuu
2020-06-21 19:37:37,Jubjub and his spice umuntu womuntu umnandi.. #Uyajola99,jubjub and his spice umuntu womuntu umnandi uyajola99
2020-06-21 19:37:37,"yaa gtulah pokonyaa, terus yaa kalo bisa masuk sekolah itu jangan jam 6, kalo bisa yah jadi jam 8 gtu",yaa gtulah pokonyaa terus yaa kalo bisa masuk sekolah itu jangan jam 6 kalo bisa yah jadi jam 8 gtu
2020-06-21 19:37:37,@k1mdoyie disiniiiii,1mdoyie disiniiiii
2020-06-21 19:37:37,RT @ayamgeqrek: “kamu galau terus kenapa sih?” https://t.co/MMh6BTKfV8, kamu galau terus kenapa sih 
2020-06-21 19:37:37,RT @Evaa0895: Ada cwo yg suka begadang ga https://t.co/J6mV9SiVov,0895 ada cwo yg suka begadang ga 
2020-06-21 19:37:37,@yudhidwi_ aku baru push rank kerasa bet dah, aku baru push rank kerasa bet dah
2020-06-21 19:37:37,@Najmahfairus11 @semestaaaku Sedih dong 🥺,11 sedih dong 
2020-06-21 19:37:37,"#Uyajola99Sundays #Uyajola99 
Umuntu womuntu umnandi
Shoots fired by Jub Jub... https://t.co/zol5bRrEYY", uyajola99sundays uyajola99 umuntu womuntu umnandi shoots fired by jub jub 
