Date,Tweets
2020-06-21 19:37:37,RT @Xavismo05: Bomboclaat https://t.co/IYXOOcUxCn
2020-06-21 19:37:37,@hamidahdesti23_ @JogjaUpdate njuk kepikiran tweetmu:(
2020-06-21 19:37:37,@subtanyarl lelakiku menuju gondrong https://t.co/7lZlOO6h62
2020-06-21 19:37:37,Gempa 22/06/2020 ± 02:36
2020-06-21 19:37:37,"@ariffute Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/a2CfatuFaM"
2020-06-21 19:37:37,Kosong dan hampa hati ini tanpa dirimu.. Yang kurasa hanya sakit karena luka.
2020-06-21 19:37:37,@raniyeaay Pusatnya mana ya?
2020-06-21 19:37:37,"@Dika_Setiawannn Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/91roVYmbVE"
2020-06-21 19:37:37,@Atasawan_ Kenceng bgt sumpa Ampe kebangun
2020-06-21 19:37:37,@leidynbernardez salu2 https://t.co/iFeH1yZVas
2020-06-21 19:37:37,sampe kaget kenceng bgt 😭 https://t.co/temRRrd7cK
2020-06-21 19:37:37,@jetlaght Bener... Aku juga kerasa...
2020-06-21 19:37:37,dah aku maw bobo dulu
2020-06-21 19:37:37,masih merinding abis gempa kenceng bgt
2020-06-21 19:37:37,Aku kira getaran cintaku yang tak terbalaskan olehnya ternyata getaran bumi
2020-06-21 19:37:37,@AnnesGotClass @DrKidNurse @DolnickSonja @HeyWeGotThis @ProjectLincoln Ok Karen
2020-06-21 19:37:37,RT @iamKachuiJr: Aisee ukiona mke wako anaomba ushauri wa ndoa kwa feminist peleka LockUp kama wiki hivi....Feminist ni mafala sana🚮🚮🚮🚮🚮
2020-06-21 19:37:37,RT @JavanoaA: Wong mbokyo koyo duren...ojo koyo emplok...emplok ki bahaya 🤣😅😂🤘😅😂🤣 https://t.co/z7XrwJBGVE
2020-06-21 19:37:37,@nksthi Tekan sukoharjo bes
2020-06-21 19:37:37,@heejinyk hah keras gak
2020-06-21 19:37:37,@adhiiswww Kenceng bangettt 😭
2020-06-21 19:37:37,@sicewemaniss Terus?
2020-06-21 19:37:37,RT @BerandaJogja: 02:34 Gempa
2020-06-21 19:37:37,"RT @ketekcowo1: #26
Bottom asal 0274 

Digilir 8 orang karena plin-plan https://t.co/lMlBImQmIS"
2020-06-21 19:37:37,Gempa
2020-06-21 19:37:37,@AsaNW_ Asa mesti
2020-06-21 19:37:37,@Camila_LCN Dinah Jane
2020-06-21 19:37:37,Teknik shooting yg efektif dalam permainan futsal adalah menendang bola dgn menggunakan ujung kaki/sepatu.
2020-06-21 19:37:37,@Golden_Damush hey maami!!
2020-06-21 19:37:37,p for plis lucu banget:( https://t.co/2VqUUitYV5
2020-06-21 19:37:37,"RT @tkdnxv: Semua bersurai, cikb menang"
2020-06-21 19:37:37,"cari jasa upfoll full rp murah dan terpercaya?coba cek pinned liat pricelistnya kali aja cocok 

buka slot setiap hari kecuali keadaan mendesak"
2020-06-21 19:37:37,RT @kabarklaten: gempaaa
2020-06-21 19:37:37,"Rajin itu menu buat orang yang SUKSES, bukan hanya bisa terus mengeluh di dalam hidupnya"
2020-06-21 19:37:37,Wkwkwk galama ini akun jadi tempat simpenan foto2 nya yizhan aja lah
2020-06-21 19:37:37,Iya nad gempa https://t.co/hnIfvBKMl5
2020-06-21 19:37:37,@urlovelycunt Mau bangettt
2020-06-21 19:37:37,"R E C O M M E N D E D 👈👈
RR VIA DM SAY
✔ OPEN BO BUAT YG DI PONTIANAK 
🔅AVAIL PONTIANAK
🔅INCLUDE ROOM
🔅WA🏧 Wa 083140949893 
🔅#Real🏩💯 
#BOpontianak
#bokalbar
#bopontianak
#expopontianak
#availpontianak
#openbopontianak 
#vcsbugil
#openvcs https://t.co/IqmYPzUudP"
2020-06-21 19:37:37,@nashwanzr Ih maaf aku gtw:(
2020-06-21 19:37:37,RT @sashacastells: ultimamen masta anan tot massa be
2020-06-21 19:37:37,Ku Klux Klan https://t.co/Dc6xaGLvEK
2020-06-21 19:37:37,Gempa dimana?
2020-06-21 19:37:37,"@tenthofjun Ya Allah dimana din, stay safe"
2020-06-21 19:37:37,@pecintaindomii Lama bil
2020-06-21 19:37:37,Jogja gempa 02.34 WIB
2020-06-21 19:37:37,TIDAK. JANGAN INI LAGI. (੭ु //□// )੭ु⁾⁾ https://t.co/LMqnANJ1JR
2020-06-21 19:37:37,"@blackxsvgar Kok orang orang pada gempa, di ak ngga"
2020-06-21 19:37:37,Yaa Allah sampe gemeter banget 😭😭😭😭😭
2020-06-21 19:37:37,Upa Daniela 🥵 https://t.co/Ac35C2KKez
2020-06-21 19:37:37,masih menunggu info BMKG
2020-06-21 19:37:37,"Ala chudakandi @kalyanipriyan garu

Naku siggu vesthundi 😌

Good night all https://t.co/nAWJxwT7WZ"
2020-06-21 19:37:37,"@aprlmm loh, surabaya juga??"
2020-06-21 19:37:37,Gempa....
2020-06-21 19:37:37,Nangis kenceng banget gempa mana lama lagi :(
2020-06-21 19:37:37,RT @SantaToby69: pp hi it me gabby😼😼😼
2020-06-21 19:37:37,Mak greg lindu
2020-06-21 19:37:37,"RT @kevinchoc: Ini salah satu story pas ke NZ. Ada di IG gue sisanya, cek bagian highlight story dengan hashtag #StudyInNZ 🇳🇿 https://t.co/…"
2020-06-21 19:37:37,Baru tidur setengah jam udah dibangunin
2020-06-21 19:37:37,@ANFaiz_ Anda bisa menemukan tweet ini dari mana yaaaaa?????????
2020-06-21 19:37:37,@NOJAEM77 anjeot serem otw otw bobo zizi
2020-06-21 19:37:36,"RT @Langensari28: Selamat ulang tahun DKI Jakarta yang ke 493, Jayaraya!"
2020-06-21 19:37:36,@mrkleeon AJG NGAKAKK BELETOT
2020-06-21 19:37:36,@KancutMeleduk meng jalannya meleng 🥺🥺🥺 wkwkwkwk
2020-06-21 19:37:36,@Shybeauty007 Han g
2020-06-21 19:37:36,Tutup lubang gali sumur terosss
2020-06-21 19:37:36,"@coretanadan Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/nnxbxF9uZm"
2020-06-21 19:37:36,"@Ted54186826 @HandsomeHandson @OhitsNuNu_ @georgyporgy111 😂😂😂😂😂😂😂😂 munthu wazazi lowesa  yekha  pa nkani ya achewa  akuti tizi yankhula  chizungu. 
Oh my God."
2020-06-21 19:37:36,@jemappelleani Kenceng bett gempanyaaaa
2020-06-21 19:37:36,"Ini gempanya gedhe banget gak sih:"") jantung mau copot astaga."
2020-06-21 19:37:36,@ToastieDesigns @TeamSynergy @ObiJai asdwasd
2020-06-21 19:37:36,@gloriatufelita iyaa kenceng bgt
2020-06-21 19:37:36,"RT @fromishour: jang gyuri 
———
#장규리 of #프로미스나인 https://t.co/jMhMyC0g3W"
2020-06-21 19:37:36,@bbydilaa semangat dila🙆❤️
2020-06-21 19:37:36,"@njhpreciouss Kiwi

Dinah Jane
https://t.co/Eam700z65y"
2020-06-21 19:37:36,sampe kebangun gara2 gempa... ya gede sih..
2020-06-21 19:37:36,@gausakepoya njrit
2020-06-21 19:37:36,@sakyeah Nah sung. Keburu jadi overthinking kemana-mana😂
2020-06-21 19:37:36,Gempanya krasa banget
2020-06-21 19:37:36,@EUNSEOxLS Gimana caranya? -jo
2020-06-21 19:37:36,@amu_page Innalillahewainnaileherajayoon
2020-06-21 19:37:36,"kerasa bgtt , aku doang po gmna"
2020-06-21 19:37:36,RT @stillwjk: YOONGI | strange https://t.co/tgTBQeSeqy
2020-06-21 19:37:36,@dindauniverse Lagi ngefly? :v
2020-06-21 19:37:36,RT @Rayyan_Danniel: Cari partner yg boleh help each other to grow &amp; to glow. Setakat buat geli geli je tak yah.
2020-06-21 19:37:36,"Demi allah jogja gempa barusan apa ga sih, bener bener serumah ngerasain gempa😭"
2020-06-21 19:37:36,@andihiyat Gua bingung ni org kapan tidur sih kok perasaan 24/7 muncul di feeds w. Apa ada manager shift an?
2020-06-21 19:37:36,@haileesfandom @jhlOdydb @jauregxkcc Dinah Jane
2020-06-21 19:37:36,@DIGORO_RS O itlhakola byang????🤦🏽‍♀️
2020-06-21 19:37:36,@micinisasi BANTUL
2020-06-21 19:37:36,@Sesyline_KE @chiwawa_36 @Hannah_mwangi_ Malisaaa
2020-06-21 19:37:36,@Nabilasekard Kerasa bgt Nab
2020-06-21 19:37:36,Gempaaaaa
2020-06-21 19:37:36,@Flexiblexxx Ayya Allah yabaki lfy
2020-06-21 19:37:36,RT @kabarklaten: gempaaa
2020-06-21 19:37:36,@KediriFess Ga kroso min pas ak mencolot mau nee. Baleni ndang
2020-06-21 19:37:36,ada gempa gede lumayan lama barusan tp aku terlalu ngantuk buat keluar kamar alias set.3 pagi woi:(
2020-06-21 19:37:36,RT @BamBam1A: @seungmintop ...................hi boss
2020-06-21 19:37:36,"@Mrs_Cherryyy Ya namanya akun hode mah bingung mau post apa, sekalinya ada yg bagus postingannya pasti dilahap🤣"
2020-06-21 19:37:36,aku risau betul bila org pecut ikut kiri ni https://t.co/X0i7ycg0Jn
2020-06-21 19:37:36,@Tiangwifi Pedes hyung
2020-06-21 19:37:36,@kikomilktea muk jadi rijal bakrie
2020-06-21 19:37:36,"RT @deirikaa: Diinggg 🎵

#jungkook #fanart https://t.co/vCohIcIiqn"
2020-06-21 19:37:36,"RT @VistaEarth: Bali, Indonesia 🇮🇩 
via: daianadaiana https://t.co/iLDCZUrdIP"
2020-06-21 19:37:36,@tenklukodvedle1 Cinkas mi furt
2020-06-21 19:37:36,@dhofberteman Hai! Laporkan bencana di sekitarmu menggunakan link ini. Terima kasih. https://t.co/Z3ZxjVjyQ8
2020-06-21 19:37:36,"@auf9721 Hai! Gunakan link ini untuk menginput lokasi banjir, keterangan, &amp; foto. https://t.co/NDYZuK16sg"
2020-06-21 19:37:36,Yang rep gua dm 👉👈
2020-06-21 19:37:36,Dah tau tak hensem tak payahlah ngorat. Ni semua taik babi https://t.co/AUZixilZhR
2020-06-21 19:37:36,Haya magari yanavojipangaga nje ya hostel za magufuli smfh
